                  | thermogenesis | UCP1 || adipocyte | browning | obesity | diabetes |
Atf1              |             2 |    1 ||         9 |        9 |       6 |       10 
CREB1             |            14 |   15 ||        56 |       59 |      99 |      130 
Crx               |             0 |    0 ||         2 |        4 |       4 |       10 
Dlx2              |             0 |    0 ||         2 |        2 |       1 |        1 
E2F8              |             0 |    0 ||         2 |        2 |       5 |        2 
ESR1              |             4 |    5 ||        46 |      100 |     140 |      193 
EWSR1 FLI1        |             0 |    0 ||         1 |        4 |       0 |        2 
HES7              |             0 |    0 ||         0 |        2 |       1 |        1 
Hic1              |             0 |    0 ||         0 |        3 |       3 |       11 
HOXA13            |             0 |    0 ||         1 |        0 |       0 |        1 
HOXA5             |             1 |    3 ||        23 |        9 |      24 |       16 
HOXD13            |             0 |    0 ||         0 |        4 |       1 |        1 
IRF1              |             1 |    1 ||         9 |       13 |      21 |       60 
MYB               |             2 |    0 ||         6 |       64 |      14 |       31 
NFATC2            |             0 |    0 ||         3 |        2 |       5 |       24 
NFKB2             |             0 |    0 ||         2 |        5 |       4 |       11 
Nr1h3 Rxra        |             1 |    1 ||         1 |        1 |       1 |        1 
NR2F1             |             0 |    1 ||         5 |        4 |       2 |        5 
Pou5f1 Sox2       |             0 |    2 ||        25 |       10 |       7 |       15 
PPARG             |            40 |   51 ||       509 |       82 |     553 |      672 
PRDM1             |             2 |    2 ||         5 |       11 |       8 |       22 
RARA RXRG         |             0 |    0 ||         0 |        0 |       0 |        0 
RARA              |             6 |    4 ||        14 |       38 |      31 |       58 
Rarb              |             0 |    0 ||         2 |        4 |       3 |        3 
SCRT1             |             0 |    0 ||         0 |        0 |       0 |        1 
SCRT2             |             0 |    0 ||         1 |        0 |       0 |        0 
SMAD2 SMAD3 SMAD4 |             0 |    0 ||         3 |        2 |       5 |       18 
SOX10             |             0 |    0 ||        59 |       50 |      15 |       82 
SOX21             |             0 |    0 ||         0 |        1 |       0 |        0 
SPI1              |             1 |    0 ||         4 |       18 |      10 |       16 
SPIC              |             0 |    0 ||         0 |        0 |       1 |        1 
TBXT              |             0 |    0 ||         1 |        0 |       1 |        0 
TEAD1             |             0 |    0 ||         3 |        2 |       0 |       20 
TEAD2             |             0 |    0 ||         1 |        2 |       1 |        3 
TEAD4             |             0 |    0 ||         3 |        1 |       1 |        4 
ZNF354C           |             0 |    0 ||         0 |        0 |       0 |        3 
ZNF410            |             0 |    0 ||         1 |        0 |       0 |        2 
ALX3              |             0 |    0 ||         0 |        0 |       0 |        8 
Arnt              |             4 |    3 ||        29 |       25 |      70 |      118 
ATF4              |            10 |    8 ||        53 |       50 |     160 |      318 
BHLHE40           |             0 |    0 ||         4 |        5 |       9 |       12 
EGR1              |             1 |    5 ||        33 |       44 |      47 |      177 
EGR3              |             0 |    0 ||         0 |        1 |       3 |        2 
EGR4              |             0 |    0 ||         0 |        3 |       2 |        1 
EN1               |             0 |    2 ||         9 |       11 |       6 |       10 
FIGLA             |             0 |    0 ||         1 |        3 |       0 |        4 
Hes1              |             1 |    2 ||        28 |       34 |      29 |      114 
Hes2              |             0 |    0 ||         1 |        0 |       3 |        1 
HES5              |             0 |    0 ||         0 |        4 |       4 |        7 
HEY1              |             1 |    1 ||        13 |        5 |      11 |       17 
HEY2              |             0 |    0 ||         3 |        1 |       8 |       10 
HIF1A             |             7 |    6 ||        93 |       97 |     183 |      515 
genes JUN         |           166 |  151 ||      1157 |     2085 |    2444 |     4120 
JUND              |             0 |    0 ||         7 |        7 |      10 |       35 
KLF14             |             0 |    0 ||         5 |        0 |      23 |       37 
Lhx8              |             4 |   10 ||        14 |       17 |      11 |        8 
Myod1             |             4 |    3 ||        36 |       29 |      24 |       28 
PAX4              |             0 |    0 ||         7 |        1 |      15 |      275 
RBPJ              |             1 |    1 ||         3 |       14 |       8 |       20 
SP4               |             0 |    0 ||         1 |       63 |       8 |       14 
TFAP2A            |             0 |    0 ||        11 |        5 |       3 |        9 
VSX2              |             0 |    0 ||         0 |        4 |       0 |        0 
ZNF384            |             0 |    0 ||         0 |        1 |       0 |        0 
Ahr Arnt          |             0 |    0 ||         5 |       10 |       5 |        9 
GLIS2             |             0 |    0 ||         1 |        0 |       1 |       11 
Gmeb1             |             0 |    0 ||         0 |        0 |       1 |        2 
IRF3              |             3 |    1 ||        13 |       21 |      45 |       68 
MAFG NFE2L1       |             0 |    0 ||         0 |        0 |       0 |        0 
NFATC1            |             0 |    0 ||        16 |       27 |      25 |       83 
NFATC3            |             0 |    0 ||         1 |        5 |       7 |       26 
NR1H2 RXRA        |             0 |    0 ||         0 |        0 |       0 |        0 
NR4A2             |             1 |    1 ||         6 |       12 |      18 |       38 
SPIB              |             0 |    0 ||         0 |        2 |       1 |        2 
TFAP2A            |             0 |    0 ||        11 |        5 |       3 |        9 
TFAP2B            |             0 |    0 ||         4 |        0 |      52 |       29 
TFAP2C            |             0 |    0 ||         0 |        3 |       2 |        2 
VDR               |             5 |   11 ||        83 |       94 |     237 |      713 
ZNF263            |             0 |    0 ||         2 |        0 |       1 |        0 
